address,type,free,reserved,staked,delegated,unclaimed,total,multiplier,final,participation
tgCkVJ6od9qmzhPm8TKe2E3q3vzZUmLgNrMY2KhEME3EV66QW,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgHY4wCEbUMfzod4Q1jCT62j9ehexFviJMWvUXfm2WgLDE34Q,substrate,2253821526058853247227,32000000000000000000,2253821526058853247227,0,0,2285821526058853247227,1.00,2285821526058853203968,N+I
tgENXXuEBCuMPtSviFT59D9ehGzRXFckf6Ygz4HwfaffRD8MH,substrate,2968291146934334034384,0,2968291146934334034384,0,0,2968291146934334034384,1.00,2968291146934334259200,N
tgDVyZ1HBeTpj2XHTj6EKbWrPBMxFKDgXgMPstenbhQy5T2uK,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgH3bxusdJLMW64bZMhfSLBWyfL22keRbxMVtUVr6QyAVowXG,substrate,698609215527297220608,0,0,0,0,698609215527297220608,1.00,698609215527297220608,-
tgHey8W5BThnHUJwFhTThSYnD695aEnAjXvZedemKTFGfXeHd,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgHKus59uAFpyawL9GufzYdF3fTtwiRHemqcrKV6BDexdTDgP,substrate,10000000000000000000,0,0,0,0,10000000000000000000,1.00,10000000000000000000,-
tgGYUSES8wsn1EnYYExomyMtBNcRo9MUywXXPzKeT6ovNQ7xv,substrate,2245560516267073409703,0,0,0,0,2245560516267073409703,1.00,2245560516267073339392,-
tgEEHquyKTwXAUY8j2P6AdmvakGHvRjWnB3k8rQWKnHZT8wdm,substrate,2394734937355570031653,0,0,0,0,2394734937355570031653,1.00,2394734937355569856512,-
tgFNcLMdxLzTiiM6nFKP3m2szA2fcV9cC8w89gP7y2TbzmtE7,substrate,44160136349139730432,0,0,0,0,44160136349139730432,1.00,44160136349139730432,-
tgEEaFPkszy3pdrMJ1poAcC8Wxe3Rj6TjnQM4GZj9A6sHLRcZ,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgFgJJUergArwoXjVx5jyTceRCBKgvt7rhw1W491D6fAMnaaG,substrate,1296228623481995794870,0,0,0,0,1296228623481995794870,1.00,1296228623481995788288,-
tgD9wRg4oaSwzZjFjM32cHM7BM9YgDeKnyDhQMYaCpe2eRmPV,substrate,1477997140032831329825,81000000000000000000,1233669293138755558253,0,0,1558997140032831329825,1.00,1558997140032831356928,V+I
tgH486HXtcoB98kMqQhbPRi2cX4qhdJUzSUm5VSDZ4FnQahDi,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgGKqZum8Gjoxy9PAHXhg9a28nS2oWzzbn2h1qsZpiKBuEATS,substrate,30603280190781219316056,0,29000000000000000000000,0,0,30603280190781219316056,1.00,30603280190781219930112,N
tgEWV9WnhmzwBdo7RqMygaXLvnqsivZEtSSwXuNysXFn4KsEq,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgGFdHDy1vfkXQTJ17SAwUuKvAwvo38SQ2ykYQQqKsnHsyLfs,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgER2t1w3CA5ZGyUdYbJEdQyPbmCW3ETzsfBjxnPvaDuxua8t,substrate,16940244060974981922133,23000000000000000000,13388308594199827421733,0,0,16963244060974981922133,1.00,16963244060974981840896,N+I
tgGJkDXmWSmmzBfTYpBAhWrbC8eDGdnCXEi7Zz2D71mzpUhXe,substrate,6130372672177585591919,0,6130078509111270608587,0,0,6130372672177585591919,1.00,6130372672177585520640,N+D
tgGnDSZfqmmvSipc2UrJ7rsoufZMB4r1YTEG3SKhDCQ9XXyzb,substrate,131894554257742496242,0,131769932930443758166,0,0,131894554257742496242,1.00,131894554257742495744,N
tgC7buaV99TVESVnRAj26Qbx2CyzfcNK88Egu3CSH5Qxivbpo,substrate,1413626244811996094984,0,0,0,0,1413626244811996094984,1.00,1413626244811996004352,-
tgH94cnBRgWRro9oEVMVEF2Cyo5NTKgVDWydGDLMQXGNRzK4k,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgEBYcBPEZxYvv2pFaZ5zViTrtX9ansBTTqrND3RJHJsEPhcN,substrate,520422625109824580885,0,0,0,0,520422625109824580885,1.00,520422625109824569344,-
tgG5FzvWAn3s8BfNFvqqcNGZuziEhHjGKJ3ubgqUhrHkHkNXq,substrate,162000000000000000000,0,0,0,0,162000000000000000000,1.00,162000000000000000000,-
tgDZMsDdEZfKPBUT9a5XHQ8sAuD7FwusVhA4tmqHfHyiigs7z,substrate,2271008217926732841677,0,2269546301478781029978,0,0,2271008217926732841677,1.00,2271008217926732873728,N
tgEgbuffopS451n4JFCo9XpsMoP3TP3X9LCfBUBGmZwt25MjM,substrate,611818965318709786701,0,0,0,0,611818965318709786701,1.00,611818965318709805056,-
tgG7HPUp7eCp55JozseLRWaRVSb1QkT4HuogpcH7jRWtQ4Gda,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgCQnMKhTkhiFz87x7aMmw6hZGBTwApihVAfUBf1ZszxgprHs,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgCJYNv1qXqkVcRzLMVy3NgdJhCurPkefG8hgmwYsv2cL3QhN,substrate,507219999999999986368512,0,0,0,0,507219999999999986368512,1.00,507219999999999986368512,-
tgFCCxMrK8L322Gzv626Y2p2e82qnmMBSBhUENrtTkHDngt81,substrate,2972013466301586544996,0,0,0,0,2972013466301586544996,1.00,2972013466301586472960,-
tgFg19sidVedqzMxKWBFRMScUEpAx7RUkCMSSdt7RswfkKXXf,substrate,2789499999999892926000,0,0,0,0,2789499999999892926000,1.00,2789499999999893176320,-
tgFe2gj1RzHxc2k9ooTDeWAMkc655wgeCxBCN43qPn5C1Eg9H,substrate,34146962701787737018592,0,33353722701790569383140,0,0,34146962701787737018592,1.00,34146962701787737358336,N
tgGT36KRHNC93JKKYQBP7xjzegFE1xjaLEVpLA4HQLi5AKBFf,substrate,2818866945243277882817,0,0,0,0,2818866945243277882817,1.00,2818866945243277688832,-
tgCh8Vg2WdXh1XyzkKiwqvYrVfuANSfyQW8hVAPVqsptu19cL,substrate,30615666161936483191,0,0,0,0,30615666161936483191,1.00,30615666161936482304,-
tgCieeHzXLifUxVqqYvwjrxbyxpiPSgkVD7SrufUauzK1EJAC,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgEnbRSmTsELC7pfPymM7P7dZ7R4V9PT7zbp2CWVVQXuSbNL7,substrate,48547888519924936137,0,0,0,0,48547888519924936137,1.00,48547888519924932608,-
tgDnoAYjYpJZX64uZop192aVvhk2JEjpP2CLVhZkV2B9GHmnj,substrate,5666934306806292137327,0,1029534115412020270118,0,0,5666934306806292137327,1.00,5666934306806292283392,N
